n_edges,n_obs,R2,R2_adj,B_Intercept,p_Intercept,B_myelin,p_myelin,B_caliber,p_caliber,B_myelin_x_caliber,p_myelin_x_caliber,B_length,p_length,B_myelin_x_length,p_myelin_x_length,dom_caliber,domfrac_caliber,dom_myelin,domfrac_myelin,dom_length,domfrac_length,dom_myelin_x_caliber,domfrac_myelin_x_caliber,dom_myelin_x_length,domfrac_myelin_x_length,level,key
39.0,39.0,0.8998535015024455,0.8846797896088766,0.29586655681704277,0.08296670109412156,-0.7873234040451264,0.001098092765026079,0.36800905995086397,0.030078719896170683,-0.09580540174338756,0.4956607353941973,0.0720664900102852,0.7951079706747936,-0.4254031539115283,0.09866017405209095,0.36961130720626884,29.63135864475868,0.4402237715632712,35.29228734298409,0.4236844702355092,33.96634855317551,0.009450969090013306,0.7576744790722223,0.004394854642063739,0.35233098000948954,nodewise,11
62.0,62.0,0.824098550284675,0.8083930637029496,-0.3437654807448342,0.0322627862480609,-0.20746402580904674,0.38171468033347156,0.18930768559555147,0.29851481177826356,0.022473045843492172,0.8697680531882834,-0.09748730527165148,0.6485157046711748,0.44999891811981557,0.11670395146929276,0.3405344705676726,32.08328359292099,0.4456308710321018,41.98488801809007,0.22013855278419447,20.74024285100081,0.02069082874346445,1.9493760066125572,0.034413064455785736,3.242209531375574,nodewise,12
39.0,39.0,0.714856115485762,0.6716524966199684,0.10029235199966971,0.5087798497022509,-0.3475715156843807,0.08951969210320619,0.8832985871974178,0.007954720743925269,-0.3754444666552089,0.08676576881629426,0.5076771054261344,0.10343238298522393,-0.5216553514587149,0.05755141614667713,0.3660544594210347,36.67058119544519,0.33904891860689834,33.965221783301956,0.2560200781925794,25.64756369823839,0.014478078338977907,1.4503840442846332,0.022622239069987782,2.2662492787298345,nodewise,13
72.0,72.0,0.6994075565104287,0.6766354017006128,-0.2805955592999845,0.13051336033181976,0.12783804318078001,0.6718124812236976,0.9660163771412917,3.4972008061227836e-07,0.36614499653400306,0.030689630471314917,0.2284867893364318,0.4071520767561214,0.7746975717430182,0.03554991499568904,0.35269053659026306,44.44492969564545,0.24261173497176558,30.573152340306876,0.13866971081901197,17.474711989299866,0.028954952892507713,3.6488102518704197,0.03061810800912418,3.858395722877391,nodewise,14
85.0,85.0,0.5831696545411652,0.5567879871070618,-0.05889816384083846,0.7416580806970514,-0.7548016097551359,0.012967304877118373,0.2595955553172949,0.21935813602745163,0.08381524710411097,0.546762759865097,0.35879271623946596,0.1264407295422371,0.1623543973940433,0.5738252737965535,0.20840542279574165,29.384833227898483,0.3533611215692096,49.823356260317766,0.13499720355885336,19.03439104220192,0.008607484185993608,1.2136415834298713,0.0038566242452885424,0.5437778861519589,nodewise,15
37.0,37.0,0.5981638677226164,0.5333515883230384,0.04903001944104936,0.8597309898554564,0.2495985615796008,0.3518952069400185,1.1862443367338456,0.009669573977602935,-0.057465573482688735,0.8015943902286198,0.3204146899737841,0.44688737627719466,-0.1187636178566335,0.7721962624347353,0.32051179262084,47.18119405466428,0.14691253699005052,21.626377176675295,0.0993566083398349,14.625868771825722,0.003350892984159748,0.49327087421423754,0.10918923976437273,16.073289122620473,nodewise,16
137.0,137.0,0.36535384313217256,0.34113070737385853,-0.34822327779541495,0.00011656564349643347,0.13943093362380657,0.22108979992244207,0.12570382210525197,0.38473069237078006,0.19908247528263184,0.10040016173211289,-0.08139994096431172,0.5329357297071304,0.7675837775403507,2.4098058674579886e-05,0.0714502247761078,13.052628922589115,0.1622585365338043,29.64162077214795,0.06937635992631214,12.67377233529626,0.07369005994273164,13.461805203969867,0.170625845846755,31.170172765996817,nodewise,17
75.0,75.0,0.6446360679698813,0.6188850584024813,0.2607988014206789,0.09220155579810414,-1.1422529048803394,2.2578040474991444e-06,0.6472194469727772,0.001985749078734113,0.1911674847095927,0.16241887526629745,0.7754762518197832,0.00020103717134047235,-0.1184850237672652,0.617089577440353,0.24779068745099986,31.84908711790061,0.3655162048631486,46.98060920466546,0.15818353043853117,20.331680312038028,0.0052193912652012675,0.6708599456171125,0.0013052246352376895,0.16776341977878265,nodewise,18
60.0,60.0,0.6561291547382821,0.6242892616584934,0.3373291589586929,0.143707176918615,-0.9398016022812082,0.028591601401911308,1.02098025855833,1.4263876334700775e-05,0.16153915145538053,0.3151651516638315,0.8140893726541848,0.008060920269018355,-0.24461145282923252,0.5055612564712946,0.3571899052557242,45.0977577477768,0.2700533580850144,34.09615093453548,0.15931783525529447,20.11500614525931,0.003421476225385134,0.43198562916196453,0.0020521583762268536,0.25909954326646384,nodewise,19
71.0,71.0,0.5188950456535979,0.48188697224233623,-0.35309659625612916,0.016464619974157813,0.10192425798151089,0.5838964191631724,-0.003304752748214214,0.9847695581788918,-0.17641593788404342,0.35177761013570075,-0.5324909760891939,0.03698436566791521,0.3008319510314688,0.2925263860941082,0.18300771508942582,25.7773696871112,0.22617161619468296,31.85717804592509,0.17211846360753263,24.243575000217685,0.045295858649098686,6.380103118179495,0.08336130815936887,11.741774148566542,nodewise,20
59.0,59.0,0.6055139361576705,0.5682982697574507,0.2965850183886366,0.22027674343064832,-0.9367246342718805,0.010974628467493332,0.968626078908943,0.00012160979127291149,0.0533529411070293,0.7779248421034155,1.1021683202732782,0.0019543225694190576,-0.28806277512279893,0.424000731254099,0.29231896074022046,42.46917269656307,0.2330264496080846,33.85493881824353,0.1501999911931255,21.821606606873186,0.0043938666598473675,0.6383570929172833,0.008369314659054383,1.215924785402921,nodewise,21
67.0,67.0,0.4907178112660896,0.44897336956658873,-0.3339159365178719,0.18303465396956564,0.17941631163928715,0.5712736823323005,0.6550950318514468,0.0011199263063091714,-0.06179680258322908,0.7419824990675391,0.1116134361115132,0.6860443642873619,0.3238405110656603,0.37562483420081705,0.26627205258105896,46.11384344218409,0.12641454549258718,21.892874235779626,0.08522962249427884,14.760337895923826,0.017429674990122046,3.01852671338071,0.08207735244100872,14.214417712731745,nodewise,22
125.0,125.0,0.38971484338893014,0.3640726099178767,-0.23453731915124257,0.01736974604060797,0.15621317552010863,0.21668519753174548,0.6574490725006744,3.258352227207868e-05,0.1952997386463115,0.20561142820812528,0.23489416237407673,0.11953420482828453,0.5238878636340136,0.006035257584357027,0.16879977962057513,35.66542788327974,0.07887129490563799,16.664586214750273,0.06096290521954406,12.880752004239248,0.04207248387190765,8.889425938688081,0.12258038484801675,25.899807959042654,nodewise,23
98.0,98.0,0.5545495629325334,0.5303403000484319,0.041520651767492596,0.7953206838354867,-0.7424430284598813,0.017124512523531477,0.8522952040033906,2.139051306451143e-06,0.5177865556883573,1.763312090735846e-05,0.7743439592827086,0.0002246703679732033,0.5025674841518285,0.042511678114260425,0.2692400980709962,38.067796684484435,0.22426527161515725,31.708816125097677,0.15246246100220506,21.556632942235968,0.0510345793423469,7.215767652002411,0.01026231637972097,1.4509865961795103,nodewise,24
96.0,96.0,0.5551211624848233,0.530405671511758,0.11960993918763635,0.569628437814715,-0.523938864095256,0.10872101119938042,0.9914238195132595,5.83428344620643e-07,0.3333404866874337,0.015338883029824923,0.6750843574122828,0.012494682502227945,0.18884100749855348,0.5577138969390691,0.33392161996971126,52.59641220711166,0.16105395278036133,25.367809633856414,0.11112553729886548,17.503522434510383,0.02068160756392501,3.2575858868814374,0.008092563717754131,1.2746698376401038,nodewise,25
61.0,61.0,0.4628588698774876,0.41402785804816833,0.04448038773623837,0.8818433027854266,0.21375562170687304,0.584998439312099,1.042108362365346,2.7100882273523436e-05,0.11839479216766365,0.5387949602812057,0.19519380307270529,0.6092560869022902,0.056456976988636554,0.8934752729683679,0.30878017661894724,59.67976878661276,0.08489496347001246,16.408151088308536,0.07090125102347333,13.703503618965277,0.0027850937567027167,0.538291522691155,0.05003357696999805,9.670284983422254,nodewise,26
111.0,111.0,0.472443311713556,0.4473215646522968,-0.21604331090287388,0.04424050378286736,0.07200129917659981,0.632951191031135,0.8293095419947586,6.389195924028911e-07,0.20400719956306704,0.11674058516572877,0.4137446907969828,0.008622157485474307,0.49513854728915907,0.0037990670916603513,0.21598961934782623,39.45353108088449,0.10785802292636548,19.701779523928494,0.08125544509027582,14.84244584550014,0.03952195277285486,7.219238576415275,0.10282816222629243,18.783004973271602,nodewise,27
83.0,83.0,0.5193724142407984,0.48816283074994116,-0.1264709383986381,0.18643332330685494,0.18029408300797467,0.2060424361257409,0.7536119419879533,2.152866344506659e-05,0.2219017748440322,0.19552978245364655,-0.01489781915177739,0.9202791801510503,0.444181389951837,0.02728198302655934,0.2935259820078527,44.07330640399804,0.14739460397728565,22.131490708080033,0.14277751690460327,21.43822910358321,0.0199832475588142,3.0005105053460035,0.06231357018945183,9.35646327899271,nodewise,28
