n_edges,n_obs,R2,R2_adj,B_Intercept,p_Intercept,B_caliber,p_caliber,B_myelin,p_myelin,B_length,p_length,dom_caliber,domfrac_caliber,dom_myelin,domfrac_myelin,dom_length,domfrac_length,level,key
39.0,39.0,0.8889186858700838,0.8793974303732339,-8.326672684688674e-17,0.9999999999999989,0.16411612425156946,0.151860028808955,-0.43894358328732064,0.0009630524763730197,-0.3844978926153193,0.00798587450831588,0.364156832677462,29.706209844870052,0.4347563637470903,35.465389123434775,0.42694777533569406,34.828401031695165,nodewise,11
62.0,62.0,0.8030392410233161,0.7928516155590049,1.3183898417423734e-16,0.9999999999999982,0.49962159233583,0.0007045021977719461,-0.715958068890884,2.321635914944162e-07,0.35039016951074,0.0038403447896548197,0.36043047033329245,35.136908078444684,0.43510121640142235,42.41625695901689,0.23025712066010678,22.44683496253843,nodewise,12
39.0,39.0,0.6810211210485606,0.6536800742812944,-2.5673907444456745e-16,0.9999999999999979,0.586615735084673,0.014624822287304643,-0.3697677964098811,0.07360852346684653,0.1179583253787287,0.5517055833011614,0.3550311017502722,38.70478358802954,0.32213142138829765,35.118125962125944,0.2401171225227865,26.177090449844513,nodewise,13
72.0,72.0,0.6762234189351142,0.661939158005781,1.734723475976807e-16,0.999999999999998,1.008572169939866,2.5199347529785966e-08,-0.2919054152175428,0.053754459648073585,0.6588340716982481,8.271255427003302e-07,0.36122872322499244,49.00181141176316,0.2310196661841083,31.33854366201997,0.144925835007994,19.65964492621688,nodewise,14
85.0,85.0,0.5810911880055598,0.5655760468205806,7.45931094670027e-17,0.9999999999999991,0.25387131733348356,0.12086101224820053,-0.8365225647593146,2.23756895715569e-07,0.3974510451116738,0.005647806530048776,0.21038130776521252,29.870882245554757,0.3523218883014069,50.02424288439109,0.1415990941562294,20.10487487005415,nodewise,15
37.0,37.0,0.5969828669212418,0.5603449457322638,3.894454203567932e-16,0.9999999999999972,1.1148586271668992,1.4731469311624688e-05,0.23229145800963125,0.35979332391078755,0.23286045359658342,0.2556654076098229,0.4285577384279945,63.34172707961605,0.1463220365893632,21.6267020200693,0.10170066916492326,15.031570900314636,nodewise,16
137.0,137.0,0.1581719764549424,0.13918337442009154,-3.903127820947816e-17,0.9999999999999996,0.42977115144060096,0.003640623791597079,-0.17253775552377817,0.1283641093790083,0.2394018449583865,0.07778010722555008,0.09201853075390504,50.138122722620004,0.058667603195189266,31.966207944670362,0.03284393410507025,17.895669332709634,nodewise,17
75.0,75.0,0.6106673792367114,0.5942167051199527,1.0061396160665481e-16,0.9999999999999989,0.31771999721187477,0.05026561612389078,-0.8376687238739329,1.2140647808826154e-06,0.46624103117272825,0.0009626665098672728,0.23146198099099918,32.09054989323798,0.3485318604965637,48.32145223488332,0.14128386101691215,19.5879978718787,nodewise,18
60.0,60.0,0.6243971613911137,0.6042755807513519,-1.8041124150158794e-16,0.9999999999999982,0.8064346309502914,8.544205906606549e-05,-0.31205053660475546,0.0988278035926024,0.41418497238733326,0.0056027741386711185,0.3419457507425491,46.225533452661196,0.25418736141143017,34.36201898298856,0.14360037538430975,19.41244756435025,nodewise,19
71.0,71.0,0.3997285160821965,0.372850688444086,4.163336342344337e-17,0.9999999999999997,0.34923103748605944,0.02679227738593901,-0.21561166232692358,0.1644515488911387,-0.12572281996809537,0.44055403138036886,0.20261811464777657,38.68365663776915,0.16658835140898226,31.804888703853173,0.1545757517027393,29.511454658377666,nodewise,20
59.0,59.0,0.5890864032350904,0.5666729343206409,1.8735013540549517e-16,0.9999999999999982,0.7575589207465695,0.00013024444250641382,-0.6155777054903693,0.005044216462206146,0.7557862434948026,0.00010314548378829869,0.29005848393379224,43.88493968844503,0.2248126831467946,34.01345448439473,0.1460810547819058,22.10160582716025,nodewise,21
67.0,67.0,0.4658667140606684,0.44043179568260493,-6.938893903907228e-18,1.0,0.8412374558640298,1.656518441188918e-06,-0.1252156337817586,0.555373759617608,0.37256167762871784,0.06395811833670997,0.3325985711136415,62.0097790757985,0.11398899688987651,21.252143358721764,0.08977714103226997,16.738077565479752,nodewise,22
125.0,125.0,0.32108028404953315,0.30424756381935636,-1.734723475976807e-17,0.9999999999999998,0.8551201253881624,2.617656210871228e-09,-0.051949730082040006,0.64036171709579,0.494853974588883,0.0003718512289908107,0.23701739381607806,68.47518461480347,0.04455401523593955,12.87181657637809,0.06456477904208197,18.652998808818445,nodewise,23
98.0,98.0,0.4363572674656807,0.4183686696188408,2.7755575615628914e-17,0.9999999999999998,0.623951713124746,0.0003804452861427957,-0.45407624812604164,0.015455932552130115,0.559668746005393,0.00014739312486278266,0.2101621625665948,44.711402795047036,0.16516912388173094,35.13926168722689,0.09471024530579714,20.14933551772607,nodewise,24
96.0,96.0,0.48970036559537267,0.47306016012565655,0.0,1.0,0.8557042797918638,6.628750172863127e-08,-0.19257195667413063,0.33846716177358693,0.48257875212580664,0.003106066830159218,0.3084479958114964,59.22671330897854,0.128343554335636,24.643917292098376,0.08400046848533976,16.12936939892308,nodewise,25
61.0,61.0,0.45664158774718977,0.42804377657598924,5.377642775528102e-17,0.9999999999999996,0.9368006845910419,6.043077930697991e-07,0.23034863609772127,0.35598364224183143,0.14437261605914967,0.5293968729957743,0.3556167377246881,70.26433311881568,0.08178632240486355,16.159704514434726,0.06870967436882713,13.575962366749582,nodewise,26
111.0,111.0,0.42170553196578964,0.40549166837604544,-2.463307335887066e-16,0.9999999999999973,0.917261828877827,5.022804909851386e-10,-0.17198060259030024,0.16577261840372792,0.6420279076062722,3.123228857873599e-06,0.27143286292617846,61.265147781921584,0.08248913305248223,18.618633250157966,0.08912412853631874,20.116218967920446,nodewise,27
